1 измерение				2 измерение				3 измерение	
	1000г				1000г				1020 г
3,90373				4,16907				23,57069	
4056	1			4706	1			4504	1
1041	2			823	2			879	2
725	3			737	3			699	3
680	4			652	4			667	4
611	5			584	5			607	5
591	6			593	6			599	6
593	7			574	7			613	7
585	8			579	8			598	8
583	9			594	9			614	9
589	10			593	10			632	10
560	11			607	11			621	11
546	12			611	12			654	12
574	13			597	13			675	13
606	14			620	14			689	14
612	15			644	15			744	15
628	16			658	16			845	16
626	17			654	17			902	17
636	18			695	18			999	18
671	19			701	19			1129	19
668	20			733	20			1272	20
694	21			765	21			1391	21
724	22			766	22			1606	22
721	23			806	23			1839	23
749	24			814	24			2065	24
778	25			843	25			2303	25
782	26			875	26			2602	26
821	27			903	27			2825	27
846	28			906	28			2901	28
869	29			940	29			2711	29
908	30			968	30			2755	30
934	31			994	31			3067	31
976	32			991	32			3222	32
966	33			1022	33			3381	33
997	34			1007	34			3582	34
990	35			1024	35			3485	35
1004	36			1074	36			3659	36
1019	37			1088	37			3906	37
1020	38			1083	38			3932	38
1005	39			1141	39			4061	39
1033	40			1115	40			4188	40
1019	41			1100	41			4128	41
1070	42			1144	42			4208	42
1055	43			1154	43			4537	43
1062	44			1196	44			4541	44
1066	45			1207	45			4738	45
1100	46			1112	46			488	46
1095	47			1143	47			4869	47
1074	48			1183	48			4848	48
1117	49			1166	49			5273	49
1107	50			1158	50			5033	50
1071	51			1170	51			5227	51
1089	52			1165	52			5102	52
1095	53			1132	53			5670	53
1089	54			1155	54			5638	54
1130	55			1161	55			5400	55
1151	56			1140	56			5682	56
1122	57			1200	57			5653	57
1156	58			1213	58			5811	58
1128	59			1187	59			5803	59
1075	60			1201	60			5801	60
1133	61			1207	61			6146	61
1132	62			1188	62			5920	62
1141	63			1198	63			6193	63
1130	64			1195	64			6104	64
1082	65			1164	65			6141	65
1105	66			1233	66			6244	66
1148	67			1227	67			6343	67
1106	68			1173	68			6483	68
1070	69			1231	69			6320	69
1120	70			1191	70			6770	70
1093	71			1190	71			6543	71
1087	72			1236	72			6696	72
1110	73			1196	73			6836	73
1102	74			1224	74			6627	74
1114	75			1240	75			6727	75
1140	76			1192	76			6858	76
1138	77			1217	77			6596	77
1123	78			1215	78			6846	78
1154	79			1186	79			7116	79
1144	80			1198	80			6979	80
1088	81			1231	81			6800	81
1147	82			1213	82			6962	82
1128	83			1165	83			6856	83
1099	84			1248	84			7078	84
1139	85			1232	85			7133	85
1141	86			1233	86			7023	86
1155	87			1262	87			7103	87
1191	88			1219	88			7250	88
1180	89			1223	89			7161	89
1158	90			1258	90			7301	90
1189	91			1243	91			7392	91
1147	92			1243	92			7261	92
1131	93			1246	93			7403	93
1169	94			1244	94			7528	94
1180	95			1255	95			7188	95
1174	96			1275	96			7392	96
1199	97			1258	97			7531	97
1151	98			1255	98			7416	98
1146	99			1288	99			7389	99
1198	100			1248	100			7596	100
1189	101			1253	101			7183	101
1158	102			1323	102			7486	102
1202	103			1256	103			7607	103
1177	104			1246	104			7304	104
1171	105			1305	105			7485	105
1189	106			1275	106			7721	106
1208	107			1296	107			7354	107
1236	108			1310	108			7590	108
1276	109			1278	109			7770	109
1253	110			1244	110			7355	110
1198	111			1296	111			7572	111
1255	112			1330	112			7784	112
1252	113			1314	113			7358	113
1186	114			1309	114			7561	114
1239	115			1252	115			7854	115
1220	116			1240	116			7642	116
1179	117			1313	117			7767	117
1232	118			1310	118			7933	118
1216	119			1274	119			7676	119
1223	120			1312	120			7764	120
1238	121			1278	121			8082	121
1196	122			1310	122			7754	122
1206	123			1327	123			7740	123
1259	124			1302	124			8047	124
1205	125			1267	125			7599	125
1199	126			1325	126			7778	126
1262	127			1287	127			7970	127
1255	128			1268	128			7640	128
1229	129			1314	129			7857	129
1241	130			1319	130			8258	130
1215	131			1320	131			7903	131
1248	132			1388	132			8149	132
1280	133			1380	133			8210	133
1235	134			1309	134			7643	134
1186	135			1355	135			7772	135
1221	136			1354	136			7906	136
1221	137			1324	137			7630	137
1276	138			1330	138			7773	138
1276	139			1263	139			8248	139
1221	140			1281	140			7874	140
1188	141			1325	141			8095	141
1247	142			1292	142			8499	142
1221	143			1296	143			8131	143
1175	144			1301	144			8100	144
1206	145			1304	145			8159	145
1248	146			1338	146			7913	146
1236	147			1322	147			8052	147
1274	148			1318	148			8258	148
1199	149			1330	149			7901	149
1157	150			1344	150			8015	150
1218	151			1315	151			8338	151
1288	152			1315	152			7664	152
1267	153			1359	153			8007	153
1289	154			1322	154			8478	154
1281	155			1311	155			7866	155
1242	156			1348	156			8029	156
1272	157			1321	157			8329	157
1267	158			1307	158			7788	158
1229	159			1354	159			8003	159
1273	160			1324	160			8329	160
1241	161			1306	161			7773	161
1227	162			1352	162			8110	162
1251	163			1283	163			8357	163
1212	164			1310	164			8075	164
